,video_id,frame_seq,gap,time_seconds,m1,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,e1,e2,e3,b1,b2,b3
0,64,311,1,10.377033333333287,7.0710678118654755,39.01281840626232,4.0,6.0,10.0,12.0,11.045361017187261,28.071337695236398,22.090722034374522,18.5,17.0,16.0,5.5,11.5,4.5,1.5,2.0,2.0,2.0,19.0,19.0,17.029386365926403
1,64,312,0,10.410399999999957,6.082762530298219,40.01249804748511,5.0,7.0,10.0,11.045361017187261,11.045361017187261,29.068883707497267,22.090722034374522,19.0,17.0,16.0,5.5,12.5,5.5,0.5,2.23606797749979,2.23606797749979,2.0,20.0,18.0,17.029386365926403
2,64,313,0,10.44376666666662,5.0,38.01315561749642,5.0,7.0,10.04987562112089,12.041594578792296,11.045361017187261,28.0178514522438,21.02379604162864,18.5,17.0,16.0,5.5,11.5,4.5,1.5,1.0,2.0,1.5,21.0,20.0,19.026297590440446
3,64,314,0,10.477133333333288,6.082762530298219,38.05259518088089,5.0,7.0,11.0,11.045361017187261,11.045361017187261,29.068883707497267,22.090722034374522,19.0,18.0,16.0,6.0,12.0,5.0,1.0,1.4142135623730951,2.0,1.5,20.0,19.0,19.026297590440446
4,64,315,0,10.510499999999952,6.082762530298219,38.01315561749642,5.0,8.0,10.0,12.041594578792296,10.04987562112089,29.068883707497267,21.095023109728988,18.0,16.0,15.0,5.5,13.5,5.5,0.5,1.0,2.0,2.0,20.0,20.0,19.026297590440446
5,64,316,0,10.543866666666618,7.0,38.05259518088089,4.0,8.0,10.04987562112089,12.041594578792296,12.041594578792296,31.016124838541646,23.021728866442675,19.5,18.0,16.0,5.0,14.0,6.0,2.0,2.0,2.0,2.0,20.0,19.0,20.024984394500787
6,64,317,0,10.577233333333284,5.0,39.05124837953327,5.0,8.0,10.0,11.045361017187261,11.045361017187261,29.017236257093817,21.02379604162864,18.5,17.0,15.0,5.0,13.0,5.0,1.0,2.0,1.0,1.5,20.0,19.0,19.026297590440446
7,64,318,0,10.61059999999995,5.0,39.05124837953327,5.0,8.0,11.045361017187261,12.041594578792296,10.04987562112089,28.0178514522438,20.024984394500787,17.5,17.0,15.0,6.0,12.0,4.0,2.0,2.0,2.0,2.0,20.0,18.0,18.110770276274835
8,64,319,0,10.643966666666616,5.0,39.05124837953327,5.0,8.0,10.0,12.041594578792296,10.04987562112089,28.0178514522438,20.024984394500787,17.5,17.0,15.0,6.0,12.0,5.0,1.0,2.23606797749979,1.0,1.5,20.0,18.0,18.027756377319946
9,64,320,0,10.677333333333282,6.082762530298219,39.05124837953327,5.0,8.0,10.04987562112089,12.041594578792296,10.04987562112089,29.068883707497267,21.095023109728988,18.0,16.0,14.0,5.0,14.0,6.0,1.0,2.23606797749979,2.0,2.0,20.0,20.0,19.0
10,64,321,0,10.710699999999948,6.082762530298219,39.01281840626232,4.0,7.0710678118654755,10.0,11.045361017187261,10.04987562112089,27.018512172212592,20.09975124224178,17.0,15.0,14.0,4.5,12.5,5.5,0.5,2.0,2.0,2.0,16.0,16.0,15.0
11,64,322,0,10.744066666666614,4.0,38.05259518088089,4.123105625617661,7.0,10.0,12.165525060596439,11.045361017187261,26.076809620810597,19.1049731745428,17.0,17.0,15.0,5.0,10.0,3.0,2.0,2.0,2.0,2.0,19.0,18.0,18.027756377319946
12,64,323,0,10.77743333333328,3.0,36.124783736376884,3.0,8.0,10.0,11.045361017187261,11.045361017187261,25.019992006393608,17.029386365926403,15.5,17.0,14.0,4.5,9.5,1.5,1.5,2.0,2.0,1.5,21.0,20.0,18.027756377319946
13,64,324,0,10.810799999999944,3.0,37.12142238654117,4.0,7.0,10.0,11.045361017187261,10.04987562112089,24.020824298928627,17.029386365926403,15.5,16.0,13.0,4.5,9.5,1.5,1.5,2.0,2.0,2.0,21.0,20.0,18.027756377319946
14,64,325,0,10.844166666666611,4.0,36.124783736376884,3.0,7.0,9.0,10.04987562112089,11.045361017187261,25.019992006393608,18.027756377319946,16.0,17.0,14.0,4.5,9.5,2.5,1.5,2.0,2.0,2.0,19.0,19.0,21.02379604162864
15,64,326,0,10.877533333333275,3.0,36.124783736376884,4.0,7.0,10.04987562112089,11.045361017187261,11.0,25.0,18.0,16.5,17.0,14.0,4.5,9.5,1.5,1.5,3.0,1.0,1.5,19.0,19.0,21.02379604162864
16,64,327,0,10.910899999999945,2.0,37.05401462729781,4.123105625617661,8.0,10.04987562112089,12.165525060596439,11.0,25.019992006393608,17.029386365926403,16.0,16.0,14.0,4.0,10.0,2.0,1.0,2.0,2.0,2.0,19.0,17.0,17.029386365926403
17,64,328,0,10.944266666666609,2.0,36.124783736376884,5.0,8.06225774829855,10.0,11.045361017187261,10.04987562112089,25.079872407968907,17.029386365926403,16.0,17.0,14.0,5.5,9.5,0.5,1.5,2.0,2.0,2.0,20.0,19.0,19.026297590440446
18,64,329,0,10.977633333333277,2.0,36.05551275463989,5.0,8.0,10.0,12.041594578792296,11.045361017187261,26.019223662515376,18.027756377319946,17.0,17.0,15.0,5.0,10.0,1.0,1.0,2.0,1.0,1.0,19.0,18.0,19.026297590440446
19,64,330,0,11.01099999999994,2.0,37.05401462729781,4.0,9.0,10.04987562112089,11.045361017187261,11.045361017187261,26.019223662515376,17.029386365926403,16.0,16.0,14.0,4.0,11.0,2.0,1.0,3.0,1.0,1.5,19.0,18.0,19.026297590440446
